2025-09-26T03:08:05.986Z: No demos list found - http://quad.quakeworld.com.br:28000
2025-09-26T03:29:45.113Z: Failed to save demo - ./demos/stats_0.mvd
2025-09-26T03:29:45.114Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:29:46.744Z: Failed to save demo - ./demos/stats_1.mvd
2025-09-26T03:29:46.745Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:29:48.356Z: Failed to save demo - ./demos/stats_2.mvd
2025-09-26T03:29:48.356Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:29:49.960Z: Failed to save demo - ./demos/stats_3.mvd
2025-09-26T03:29:49.961Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:29:51.564Z: Failed to save demo - ./demos/stats_4.mvd
2025-09-26T03:29:51.565Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:29:55.080Z: Failed to save demo - ./demos/stats_5.mvd
2025-09-26T03:29:55.081Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:29:58.500Z: Failed to save demo - ./demos/stats_6.mvd
2025-09-26T03:29:58.501Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:30:02.117Z: Failed to save demo - ./demos/stats_7.mvd
2025-09-26T03:30:02.117Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:30:05.536Z: Failed to save demo - ./demos/stats_8.mvd
2025-09-26T03:30:05.539Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:30:09.059Z: Failed to save demo - ./demos/stats_9.mvd
2025-09-26T03:30:09.060Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:31:30.083Z: Failed to save demo - ./demos/stats_0.mvd
2025-09-26T03:31:30.085Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:31:31.686Z: Failed to save demo - ./demos/stats_1.mvd
2025-09-26T03:31:31.687Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:31:33.092Z: Failed to save demo - ./demos/stats_2.mvd
2025-09-26T03:31:33.093Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:31:34.695Z: Failed to save demo - ./demos/stats_3.mvd
2025-09-26T03:31:34.696Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:31:36.100Z: Failed to save demo - ./demos/stats_4.mvd
2025-09-26T03:31:36.101Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:32:19.470Z: Failed to save demo - ./demos/stats_0.mvd
2025-09-26T03:32:19.472Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:32:20.926Z: Failed to save demo - ./demos/stats_1.mvd
2025-09-26T03:32:20.927Z: Failed to save demo - http://ring.quakeworld.com.br:28000
2025-09-26T03:32:22.538Z: Failed to save demo - ./demos/stats_2.mvd
2025-09-26T03:32:22.538Z: Failed to save demo - http://ring.quakeworld.com.br:28000
